Building Name (1),樓宇名稱 (一),Building Name (2),樓宇名稱 (二),Building Name (3),樓宇名稱 (三),Address (1),樓宇地址(一),Address (2),樓宇地址(二),Address (3),樓宇地址(三),"Year of Completion
落成年份","Owners' Corporation
業主立案法團",Remark,備註
Affluence Garden,澤豐花園,Civic House (Block 3),澤民樓 (第3座),,,,,,,,,,,See Appendix IV,見附錄IV
Affluence Garden,澤豐花園,Felicitous House (Block 2),澤泰樓 (第2座),,,,,,,,,,,See Appendix IV,見附錄IV
Affluence Garden,澤豐花園,Opulent House (Block 5),澤富樓 (第5座),,,,,,,,,,,See Appendix IV,見附錄IV
Affluence Garden,澤豐花園,Pacific House (Block 4),澤安樓 (第4座),,,,,,,,,,,See Appendix IV,見附錄IV
Affluence Garden,澤豐花園,"Po Leung Kuk Choi Koon
Shum Kindergarten",保良局蔡冠深幼稚園,,,,,,,,,,,See Appendix IV,見附錄IV
Affluence Garden,澤豐花園,"Prosperland House
(Block 1)",澤國樓 (第1座),,,,,,,,,,,See Appendix IV,見附錄IV
Ai Ching Yuen,愛靜園,,,,,"DD 186 Lot 370 RP & etc
Off Tai Po Rd. Sha Tin
Sha Tin","沙田近大埔公路沙田段
第186約第370號
地段的餘段等",,,,,1966,,,
Air House,,,,,,"DD 223 Lot 232,
Clear Water Bay Rd.","清水灣道第223約
第232號地段",,,,,1988,,,
Air Mail Centre,空郵中心,,,,,"9 Catering Rd. W.,
Chek Lap Kok","赤鱲角
航膳西路9號",,,,,-,,,
Air Traffic Control Complex,航空交通管制大樓,,,,,"1 Control Tower Rd.,
Chek Lap Kok","赤鱲角
管制塔路1號",,,,,-,,,
Airfield Control Centre,,,,,,"2 Control Tower Rd.,
Chek Lap Kok","赤鱲角
管制塔路2號",,,,,-,,,
Airport Authority Building,機場管理局大樓,,,,,"1 Cheong Yip Rd.,
Chek Lap Kok","赤鱲角
暢業路1號",,,,,1998,,,
Airport Authority Kwo Lo Wan Office,機場管理局過路灣辦事處,,,,,"8 Chun Yue Rd.,
Chek Lap Kok","赤鱲角
駿裕路8號",,,,,1997,,,
"Airport Core Programme
Exhibition Centre",機場核心計劃展覽中心,,,,,"401 Castle Peak Rd. Ting Kau,
Tsuen Wan","荃灣
青山公路汀九段401號",,,,,-,,,
Airport Freight Forwarding Centre,機場空運中心,,,,,"2 Chun Wan Rd.,
Chek Lap Kok","赤鱲角
駿運路2號",,,,,1998,,,
"Airport Freight Forwarding Centre
Commercial Building",機場空運中心商務大樓,,,,,"2 Chun Wan Rd.,
Chek Lap Kok","赤鱲角
駿運路2號",,,,,1998,,,
AJI Ichiban Centre,優之良品中心,,,,,"18 Wing Kei Rd.,
Kwai Chung","葵涌
永基路18號",,,,,1994,,,
Albert Villa,,,,,,"25/27A Sha Tin Heights Rd.,
Sha Tin","沙田
沙田嶺路25/27A號",,,,,1967,,,
Alexandra Villa,,,,,,"DD CC 1155,
Off Cheung Chau Peak Rd.,
Cheung Chau","長洲
近長洲山頂道
第1155號地段",,,,,1980,,,
Alice Ho Miu Ling Nethersole Hospital,雅麗氏何妙齡那打素醫院,,,,,"11 Chuen On Rd.,
Tai Po","大埔
全安路11號
",,,,,1996,,,
Alliance Bible Seminary,建道神學院,,,,,"22 Cheung Chau Peak Rd.,
Cheung Chau","長洲
長洲山頂道22號",,,,,1959,,,
Alliance Primary School Sheung Shui,上水宣道小學,,,,,"2 Wo Muk Rd.,
Fanling","粉嶺
和睦路2號",,,,,-,,,
Allied Cargo Centre,聯合貨運中心,,,,,"150/164 Texaco Rd.,
Tsuen Wan","荃灣
德士古道150/164號",,,,,1991,,,
Allway Gardens,荃威花園,,,,,Tsuen Wan,荃灣,,,,,,P,,
Allway Gardens,荃威花園,Block A,A座,,,,,195 Tsuen King Circuit,荃景圍195號,,,1978,P,,
Allway Gardens,荃威花園,Block B,B座,,,,,193 Tsuen King Circuit,荃景圍193號,,,1978,P,,
Allway Gardens,荃威花園,Block C,C座,,,,,191 Tsuen King Circuit,荃景圍191號,,,1978,P,,
Allway Gardens,荃威花園,Block D,D座,,,,,189 Tsuen King Circuit,荃景圍189號,,,1978,P,,
Allway Gardens,荃威花園,Block E,E座,,,,,187 Tsuen King Circuit,荃景圍187號,,,1978,P,,
Allway Gardens,荃威花園,Block F,F座,,,,,22 On Yat St.,安逸街22號,,,1980,P,,
Allway Gardens,荃威花園,Block G,G座,,,,,20 On Yat St.,安逸街20號,,,1980,P,,
Allway Gardens,荃威花園,Block H,H座,,,,,18 On Yat St.,安逸街18號,,,1980,P,,
Allway Gardens,荃威花園,Block J,J座,,,,,16 On Yat St.,安逸街16號,,,1980,P,,
Allway Gardens,荃威花園,Block K,K座,,,,,14 On Yat St.,安逸街14號,,,1979,P,,
Allway Gardens,荃威花園,Block L,L座,,,,,12 On Yat St.,安逸街12號,,,1980,P,,
Allway Gardens,荃威花園,Block M,M座,,,,,10 On Yat St.,安逸街10號,,,1980,P,,
Allway Gardens,荃威花園,Block N,N座,,,,,8 On Yat St.,安逸街8號,,,1980,P,,
Allway Gardens,荃威花園,Block P,P座,,,,,6 On Yat St.,安逸街6號,,,1981,P,,
Allway Gardens,荃威花園,Block Q,Q座,,,,,4 On Yat St.,安逸街4號,,,1981,P,,
Allway Gardens,荃威花園,Block R,R座,,,,,2 On Yat St.,安逸街2號,,,1981,P,,
Alpha Appliances Building,第一電業大廈,,,,,"21 Po Wan Rd.,
Sheung Shui","上水
寶運路21號",,,,,1992,,,
Alpine Garden,冠峰園,,,,,"350 Castle Peak Rd.
Castle Peak Bay, Tuen Mun","屯門青山公路
青山灣段350號",,,,,1991,P,,
Alto Residences,藍塘傲,,,,,"29 Tong Yin St.,
Tseung Kwan O","將軍澳
唐賢街29號",,,,,2018,,,
Alva Hotel By Royal,帝逸酒店,,,,,"1 Yuen Hong St.,
Sha Tin","沙田
源康街1號",,,,,2018,,,
American School Hong Kong,,,,,,"6 Ma Chung Rd.,
Tai Po","大埔
馬聰路6號",,,,,,,,
AMS Tsam Chuk Wan Training Centre,醫療輔助隊斬竹灣訓練中心,,,,,"DD 256 Tsam Chuk Wan,
Sai Kung","西貢斬竹灣
丈量約份第256約",,,,,-,,,
An Yuen,顏苑,,,,,"116 Ha Wo Che Tsuen,
Sha Tin","沙田
下禾輋村116號",,,,,-,,,
Anchors International Nursery,安基司國際幼兒園,,,,,"1 Hung Lam Drive,
Constellation Cove,
Tai Po","大埔滌濤山
紅林路1號",,,,,-,,,
Anglers' Bay,海雲軒,,,,,"18A Castle Peak Rd.
Tsing Lung Tau, Tsing Lung Tau","青龍頭青山公路
青龍頭段18A號",,,,,2004,,,
Annking Industrial Building,安勁工業大廈,,,,,"22 Wang Yip St. E.,
Yuen Long","元朗
宏業東街22號",,,,,1983,P,,
Anton Villa,雅信苑,,,,,"313 Castle Peak Rd. Ting Kau,
Tsuen Wan","荃灣
青山公路汀九段313號",,,,,1951,,,
AOffice 46,,,,,,"57/59 Kwok Shui Rd.,
Kwai Chung","葵涌
國瑞路57/59號",,,,,1973,,,
Aqua Blue,浪濤灣,,,,,"28 Tsing Fat St.,
Tuen Mun","屯門
青發街28號",,,,,2002,,,
Aquamarine Garden,海慧花園,,,,,"8 Tsing Yan St.,
Tuen Mun","屯門
青茵街8號",,,,,1994,,,
Arcadia,龍嶺,,,,,"99 Chuk Yeung Rd.,
Sai Kung","西貢
竹洋路99號",,,,,1987,,,
Archei Villa,,,,,,"65/67 Sheung Sze Wan,
Clear Water Bay","清水灣
相思灣65/67號",,,,,1980,,,
Arcourt Garden,雅閣苑,,,,,"1A Po Tung Rd.,
Sai Kung","西貢
普通道1A號",,,,,-,P,,
Arnold Gardens,雅樂花園,,,,,"6 Tan Kwai Tsuen,
Hung Shui Kiu","洪水橋
丹桂村6號",,,,,1984,P,,
Arronville,富盛苑,,,,,"249A Nai Wai,
Tuen Mun","屯門
泥圍249A號",,,,,-,,,
Asbury Methodist Primary School,亞斯理衛理小學,,,,,"Lai King Estate,
Kwai Chung","葵涌
荔景邨",,,,,-,,,
Ascension House,,,,,,"DD 186 Lot 380 RP
Off Tai Po Rd. Sha Tin","近大埔公路沙田段
第186約第380號
地段的餘段",,,,,-,,,
Ascot Heights,雅士閣,,,,,"21 Lok Lam Rd.,
Sha Tin","沙田
樂林路21號",,,,,1983,P,,
Ascot Park,翡翠園,,,,,"1 Kam Tsin Path,
Kwu Tung","古洞
金錢徑1號",,,,,2000,P,,
Ascot Villa,福來別墅,,,,,"39/41 Sha Tin Heights Rd.,
Sha Tin","沙田
沙田嶺路39/41號",,,,,1974,P,,
Asia Airfreight Terminal,亞洲空運中心,,,,,"10 Chun Ping Rd.,
Chek Lap Kok","赤鱲角
駿坪路10號",,,,,1998,,,
Asia Trade Centre,亞洲貿易中心,,,,,"79 Lei Muk Rd.,
Kwai Chung","葵涌
梨木道79號",,,,,1997,,,
Asiaciti Gardens,,,,,,"6 Fung Sau Rd.,
Sai Kung","西貢
鳳秀路6號",,,,,1981,,,
Asiatone I-Centre,亞洲脈絡中心,,,,,"1 Wang Wo Tsai St.,
Tsuen Wan","荃灣
橫窩仔街1號",,,,,1995,,,
AsiaWorld-Expo,亞洲國際博覽館,,,,,"1 Airport Expo Boulevard,
Chek Lap Kok","赤鱲角
航展道1號",,,,,2005,,,
Aster Court,雅珊園,,,,,"8 Hung Tai Rd.,
Hung Shui Kiu, Yuen Long","元朗洪水橋
洪堤路8號",,,,,1992,,,
Astoria Court,雅妍花苑,,,,,"70 Sheung Yau Tin Tsuen,
Shap Pat Heung, Yuen Long","元朗十八鄉
上攸田村70號",,,,,-,P,,
ATL Logistics Centre,亞洲貨櫃物流中心,,,,,"8 Container Port Rd. S.,
Kwai Chung","葵涌
貨櫃碼頭南路8號",,,,,1986,,,
Auberge Discovery Bay Hong Kong,香港愉景灣酒店,,,,,"88 Siena Avenue
Discovery Bay","大嶼山
海澄湖畔路 88 號",,,,,2012,,,
"Auxiliary Medical Service Mui Wo 
Training Centre",醫療輔助隊梅窩訓練中心,,,,,"58 Mui Wo Rural Committee Rd.,
Lantau Island","大嶼山
梅窩鄉事會路58號",,,,,-,,,
"Auxiliary Medical Service
New Territories East Regional Office",醫療輔助隊新界東總區辦事處,,,,,"70 Che Kung Miu Rd.,
Sha Tin","沙田
車公廟路70號",,,,,-,,,
Avignon,星堤,,,,,"1 Kwun Chui Rd.,
Tuen Mun","屯門
管翠路1號",,,,,2011,,,
Avon Park,碧湖花園,,,,,"15 Yat Ming Rd.,
Fanling","粉嶺
一鳴路15號",,,,,1994,,,
Azalea Ridge,,,,,,"18 Fei Ngo Shan Rd.,
Sai Kung","西貢
飛鵝山道18號",,,,,1976,,,
Aztec Lodge,雅石居,,,,,"355A Castle Peak Rd.
Ting Kau, Tsuen Wan","荃灣
青山公路汀九段355A號",,,,,-,,,
Bahama Garden,寶雅花園,,,,,"10/20 Cheung Fu St.,
Cheung Sha, Lantau Island","大嶼山長沙
長富街10/20號",,,,,1982,,,
Balmoral Garden,翠海花園,,,,,"21 Razor Hill Rd.,
Sai Kung","西貢
碧翠路21號",,,,,1992,P,,
Bamboo Court,竹苑,,,,,"79/95 Castle Peak Rd. San Hui &
2/16 Tat Yan Square, Tuen Mun","屯門青山公路新墟段79/95號及
達仁坊2/16號",,,,,1977,P,,
Bamboo Garden,百步軒,,,,,"12 Fu Kong Shan,
Mui Wo, Lantau Island","大嶼山梅窩
富剛山12號",,,,,-,,,
Banco Garden,宏潤軒,,,,,"501-503 & 505 Shui Tsiu San
Tsuen, Shap Pat Heung,
Yuen Long","元朗十八鄉
水蕉新村
501-503及505號",,,,,-,,,
Bank Building,銀行大廈,,,,,"23/51 Tai Loong St.,
Kwai Chung",葵涌大隴街23/51號,,,,,1974,P,,
Banyan Villa,,,,,,"DD 36 Lot 1328 s.A.
Tai Po Rd.","大埔公路第36約
第1328號地段A段",,,,,1983,,,
"Baptist (Sha Tin Wai) Lui
Ming Choi Primary School",浸信會沙田圍呂明才小學,,,,,"8 Yuen Chau Kok Rd.,
Sha Tin","沙田
圓州角路8號",,,,,-,,,
"Baptist Lui Ming Choi
Primary School",浸信會呂明才小學,,,,,"2 Tak Wing St.,
City One Shatin,
Sha Tin","沙田
沙田第一城
得榮街2號",,,,,-,,,
"Baptist Lui Ming Choi
Secondary School",浸信會呂明才中學,,,,,"11 Yuen Wo Rd.,
Lek Yuen Estate,
Sha Tin","沙田
瀝源邨
源禾路11號",,,,,1978,,,
"Baptist Wing Lung
Secondary School",浸信會永隆中學,,,,,"6A Ho Hing Circuit,
Tuen Mun","屯門
河興街6A號",,,,,-,,,
Barbecue Gardens,聽濤村,,,,,"9 Lok To St.,
Tuen Mun","屯門
樂濤街9號",,,,,-,,,
Bauhinia Garden,紫翠花園,,,,,"180 Castle Peak Rd.
Hung Shui Kiu, Tuen Mun","屯門青山公路
洪水橋段180號",,,,,1995,P,,
Bauhinia Garden,寶盈花園,,,,,"11 Tong Chun St.,
Tseung Kwan O","將軍澳
唐俊街11號",,,,,2001,P,See Appendix IV,見附錄IV
Bauhinia Garden,寶盈花園,Blocks 1-8,第1至8座,,,,,,,,,,P,See Appendix IV,見附錄IV
Bauhinia House,紫荊樓,,,,,"18 Tai Lam Chung Rd.,
Tuen Mun","屯門
大欖涌路18號",,,,,-,,,
Bay View,,,,,,"981 Clear Water Bay Rd.,
Pan Long Wan, Sai Kung","西貢檳榔灣
清水灣道981號",,,,,1964,,,
Bay View Lodge,觀海樓,,,,,"3 Fung Sau Rd.,
Sai Kung","西貢
鳳秀路3號",,,,,1983,,,
Baycrest,觀瀾雅軒,,,,,"8 Hang Ming St.,
Ma On Shan","馬鞍山
恒明街8號",,,,,2000,P,,
Bayshore Towers,海栢花園,,,,,"608 Sai Sha Rd.,
Ma On Shan","馬鞍山
西沙路608號",,,,,1994,,,
Bayside Villa,碧沙別墅,,,,,"1 Pik Sha Rd.,
Sai Kung","西貢
碧沙路1號",,,,,1968,P,,
Bayview Apartments,灣景台,,,,,"9 Silver Star Path,
Silverstrand, Sai Kung","西貢銀線灣
銀星徑9號",,,,,1975,P,,
Bayview Garden,灣景花園,,,,,"633 Castle Peak Rd. Tsuen Wan,
Tsuen Wan","荃灣
青山公路荃灣段633號",,,,,1991,P,,
Bayview Pavilion,,,,,,"3A, 7 & 9 Fung Sau Rd.,
Sai Kung","西貢
鳳秀路3A, 7 & 9號",,,,,1991,,,
Bayview Terrace,碧翠花園,,,,,"107 Castle Peak Rd.
Castle Peak Bay, Tuen Mun","屯門青山公路
青山灣段107號",,,,,1989,P,,
Bayview Villa,,,,,,"21B Tso Wo Hang,
Sai Kung","西貢
早禾坑21B號",,,,,-,,,
Beach Villa,,,,,,"99 Nam Wai,
Sai Kung","西貢
南圍99號",,,,,1981,P,,
Beach Villa,,House A - C,,,,,,,,,,,P,,
Bearwood,,,,,,"69 Sheung Sze Wan,
Clear Water Bay","清水灣
相思灣69號",,,,,-,,,
Beaulieu Peninsula,蟠龍半島,,,,,"2 Yu Chui St.,
Tuen Mun","屯門
瑜翠街2號",,,,,1982,P,,
Beautiful Garden,美豐花園,,,,,"11 Chui Lok St.,
Tai Po","大埔
翠樂街11號",,,,,1992,P,,
Beauty Court,麗珊園,,,,,"3 Hung Tai Rd.,
Hung Shui Kiu, Yuen Long","元朗洪水橋
洪堤路3號",,,,,1993,P,,
Bela Vista Villa,東堤小築,,,,,"Lot 1491 RP
Cheung Chau","長洲
地段第1491號餘段",,,,,-,P,,
Belair Gardens,富豪花園,,,,,"52 Tai Chung Kiu Rd.,
Sha Tin","沙田
大涌橋路52號",,,,,,P,,
Belair Gardens,富豪花園,Admiralty Heights,愛都閣,,,,,,,,,1982,P,,
Belair Gardens,富豪花園,"Belair Gardens Commercial Centre
Phase I",富豪花園商場第一期,,,,,,,,,1985,P,,
Belair Gardens,富豪花園,"Belair Gardens Commercial Centre
Phase II",富豪花園商場第二期,,,,,,,,,1988,P,,
Belair Gardens,富豪花園,Beverley Heights,碧華閣,,,,,,,,,1982,P,,
Belair Gardens,富豪花園,Carmel Heights,嘉美閣,,,,,,,,,1982,P,,
Belair Gardens,富豪花園,Dominion Heights,明麗閣,,,,,,,,,1982,P,,
Belair Gardens,富豪花園,Estoril Heights,雅仕閣,,,,,,,,,1982,P,,
Belair Gardens,富豪花園,Fontana Heights,富儷閣,,,,,,,,,1982,P,,
Belair Gardens,富豪花園,Grenville Heights,嘉蘭閣,,,,,,,,,1982,P,,
Belair Gardens,富豪花園,Hoover Heights,豪華閣,,,,,,,,,1982,P,,
Belair Gardens,富豪花園,Imperial Heights,帝皇閣,,,,,,,,,1987,P,,
Belair Gardens,富豪花園,Jade Heights,翡翠閣,,,,,,,,,1987,P,,
Belair Gardens,富豪花園,Kingston Heights,景峰閣,,,,,,,,,1985,P,,
Belair Gardens,富豪花園,Lincoln Heights,林景閣,,,,,,,,,1985,P,,
Belair Gardens,富豪花園,Manhattan Heights,文禧閣,,,,,,,,,1987,P,,
Belair Gardens,富豪花園,Nelly Heights,麗人閣,,,,,,,,,1987,P,,
Belair Monte,綠悠軒,,,,,"3 Ma Sik Rd.,
Fanling","粉嶺
馬適路3號",,,,,1998,P,,
Belair Villa,萬豪居,,,,,"9 Yu Tai Rd.,
Fanling","粉嶺
裕泰路9號",,,,,1997,P,,
Bella Vista,碧濤花園,,,,,"15 Silver Terrace Rd.,
Silverstrand, Sai Kung","西貢銀線灣
銀臺路15號",,,,,1981,P,,
Bellagio,碧堤半島,,,,,"33 Castle Peak Rd.
Sham Tseng, Sham Tseng","深井
青山公路深井段33號",,,,,2002,,,
Bellevue Court,頤景居,,,,,"63 Hung Shui Kiu Main St.,
Yuen Long","元朗
洪水橋大街63號",,,,,1998,,,
Bellevue Garden,碧麗花園,,,,,"26 Cheung Chau Peak Rd.,
Cheung Chau","長洲
長洲山頂道26號",,,,,1980,,,
Belrose Place,樂怡居,,,,,Tuen Mun,屯門,,,,,-,,,
Belrose Place,樂怡居,Block A,(A座),,,,,241 Nai Wai,泥圍241號,,,,,,
Belrose Place,樂怡居,Block B,(B座),,,,,242 Nai Wai,泥圍242號,,,,,,
Belrose Place,樂怡居,Block C,(C座),,,,,242A Nai Wai,泥圍242A號,,,,,,
Belrose Place,樂怡居,Block D,(D座),,,,,242B Nai Wai,泥圍242B號,,,,,,
Belrose Place,樂怡居,Block E,(E座),,,,,242C Nai Wai,泥圍242C號,,,,,,
Belrose Place,樂怡居,Block F,(F座),,,,,242D Nai Wai,泥圍242D號,,,,,,
Belvedere Garden Phase I,麗城花園第一期,,,,,"530/590 Castle Peak Rd.
Tsuen Wan, Tsuen Wan","荃灣青山公路
荃灣段530/590號",,,,,1987,P,,
Belvedere Garden Phase II,麗城花園第二期,,,,,"620 Castle Peak Rd.
Tsuen Wan, Tsuen Wan","荃灣
青山公路荃灣段620號",,,,,1989,P,,
Belvedere Garden Phase III,麗城花園第三期,,,,,"625 Castle Peak Rd.
Tsuen Wan, Tsuen Wan","荃灣
青山公路荃灣段625號",,,,,,P,,
Belvedere Garden Phase III,麗城花園第三期,Blocks 1 - 3,第1 - 3座,,,,,,,,,1991,P,,
Belvedere Garden Phase III,麗城花園第三期,Blocks 4 - 7,第4 - 7座,,,,,,,,,1990,P,,
Belvedere Garden Shopping Centre,麗城商場,,,,,"620 Castle Peak Rd.
Tsuen Wan, Tsuen Wan","荃灣
青山公路荃灣段620號",,,,,1989,,,
Belvedere Square,麗城廣場,,,,,"625 Castle Peak Rd.
Tsuen Wan, Tsuen Wan","荃灣
青山公路荃灣段625號",,,,,1991,,,
Beneville,聚康山莊,,,,,"18 Tuen Kwai Rd.,
Tuen Mun","屯門
屯貴路18號",,,,,2004,P,,
Berkeley Bay Villa,柏麗灣別墅,,,,,"DD 214 Lot 836,
Off Hiram's Highway,
Ho Chung, Sai Kung","西貢蠔涌
近西貢公路第214約
第836號地段",,,,,1978,P,,
Bethany Lodge,,,,,,"12 Fa Peng Rd.,
Cheung Chau","長洲
花屏路12號",,,,,2007,,,
Bethel High School,伯特利中學,,,,,"11 Fairview Park Section F,
4th St.,
Yuen Long","元朗
錦綉花園F段
第4街11號",,,,,-,,,
Beverly Garden,富康花園,,,,,"1 Tong Ming St.,
Tseung Kwan O ",將軍澳唐明街1號,,,,,1998,P,See Appendix IV,見附錄IV
Beverly Garden,富康花園,Blocks 1-10,第1至10座,,,,,,,,,,P,See Appendix IV,見附錄IV
BF Pharmaceutical Centre,澳美製藥中心,,,,,"8 Wang Fu St.,
Yuen Long","元朗
宏富街8號",,,,,2000,,,
Bhotai Industrial Building,寶泰工業大廈,,,,,"13 San On St.,
Tuen Mun","屯門
新安街13號",,,,,1976,,,
Biarritz,逸海,,,,,"16 Tsing Tai Rd.,
Tuen Mun","屯門
青泰路16號",,,,,2014,,,
Big Orange - Tai Wai,橙色空間 - 大圍,,,,,"2/8 Shing Wan Rd.,
Sha Tin","沙田
成運路2/8號",,,,,1981,,,
Bik Lai Yuen,碧麗園,,,,,"41A Cheung Chau Peak Rd.,
Cheung Chau","長洲
長洲山頂道41A號",,,,,1976,,,
Billows Villa,浪濤別墅,,,,,"DD 238 Lot 542,
Off Hang Hau
Wing Lung Rd., Sai Kung","西貢近坑口永隆路
第238約
第542號地段",,,,,1985,,,
Bitt Hing Building,必興樓,,,,,"2/4 Ming Ngai St. &
107/111 Tuen Mun Heung
Sze Wui Rd., Tuen Mun","屯門明藝街2/4號及
屯門鄉事會路107/111號",,,,,1974,,,
Black Point Power Station,龍鼓灘發電廠,,,,,"26 Yung Long Rd.,
Tuen Mun","屯門
湧浪路26號",,,,,-,,,
Blossom Garden,寶怡花園,,,,,"11 Leung Tak St.,
Tuen Mun","屯門
良德街11號",,,,,1993,,,
Blue Eaves,,,,,,"DD 229 Lot 201,
Clear Water Bay Rd.
Sai Kung","西貢
清水灣道
第229約第201號地段",,,,,1960,,,
Bluet Garden,玉泉園藝,,,,,"DD 229 Lot 128,
Clear Water Bay Rd.
Tai Po Tsai, Sai Kung","西貢大埔仔
清水灣道
第229約第128號地段",,,,,1965,,,
Bo Shek Mansion,寶石大廈,,,,,"328 Sha Tsui Rd.,
Tsuen Wan","荃灣
沙咀道328號",,,,,,P,See Appendix II,見附錄II
Bo Shek Mansion,寶石大廈,Block 1-3,第1至3座,,,,,,,,,,P,See Appendix II,見附錄II
Bo Yuen,寶園,,,,,"DD 124 Lot 1096
(Middle Portion)
(3 Shek Po Rd.)
Hung Shui Kiu, Yuen Long","元朗洪水橋
第124約
第1096號地段 (中部)
(石埗路3號)",,,,,-,,,
"Boarding Section of
Caritas Lok Jun School",明愛樂進學校住宿部,,,,,"30 Man Lai Rd.,
Sha Tin","沙田
文禮路30號",,,,,-,,,
BOC Luen Wo Market Building,中銀聯和墟大樓,,,,,"17/19 Wo Fung St.,
Fanling","粉嶺
和豐街17/19號",,,,,1982,,,
BOC Sheung Shui Commercial Centre,中銀上水商業中心,,,,,"61 San Fung Avenue,
Sheung Shui","上水
新豐路61號",,,,,1972,,,
BOC Yuen Long Commercial Centre,中銀元朗商業中心,,,,,"102/108 Castle Peak Rd.
Yuen Long, Yuen Long","元朗青山公路
元朗段102/108號",,,,,1984,,,
Bold Win Industrial Building,保盈工業大廈,,,,,"16/18 Wah Sing St.,
Kwai Chung","葵涌
華星街16/18號",,,,,1977,P,,
Bonanza Villa,祥康園,,,,,"DD 115 Lot 1501,
Off Yau Shin St.,
Yuen Long","元朗近友善街
第115約
第1501號地段",,,,,1982,,,
Bong Hing Building,邦興大樓,,,,,"6/20 Sui On St.,
Tai Po","大埔
瑞安街6/20號",,,,,1980,P,,
Bonjour Tower,卓悅集團中心,,,,,"36/42 Wang Wo Tsai St.,
Tsuen Wan","荃灣
橫窩仔街36/42號",,,,,1975,,,
Bonjour Tower,卓悅集團中心,,,,,"44/50 Wang Wo Tsai St.,
Tsuen Wan","荃灣
橫窩仔街44/50號",,,,,1971,,,
Bonsun Industrial Building,萬象工業大廈,,,,,"364/366 Sha Tsui Rd.,
Tsuen Wan","荃灣
沙咀道364/366號",,,,,1973,P,,
Bor Yeh Lam,般若林,,,,,"24 Ngong Ping Tsuen,
Lantau Island","大嶼山
昂平村24號",,,,,-,,,
Bor Yek Yuen,般若苑,,,,,"17 Ngong Ping Tsuen,
Lantau Island","大嶼山
昂平村17號",,,,,-,,,
Bossini Logistics Centre,堡獅龍物流中心,,,,,"4 Yip Wo St.,
Fanling","粉嶺
業和街4號",,,,,1989,,,
Botania Villa,綠怡居,,,,,"138 Fuk Hang Tsuen Rd.,
Tuen Mun","屯門
福亨村路138號",,,,,1998,P,,
Bougainvillea Gardens,,,,,,"12 Silver Crest Rd.,
Silverstrand, Sai Kung","西貢銀線灣
銀巒路12號",,,,,1977,,,
Boulder Lodge,,,,,,"3 Tsing Bik St.,
Tuen Mun","屯門
青碧街3號",,,,,Pre 1945前,,,
Bowring Height,,,,,,"7 Hing Ping Rd.,
Tuen Mun","屯門
慶平路7號",,,,,1974,,,
"Boys' & Girls' Clubs Association of
Hong Kong, Bradbury Camp",香港小童群益會白普理營,,,,,"DD 257 Lot 642,
Off Tai Mong Tsai Rd.,
Wong Yi Chau, Sai Kung","西貢
黃宜洲近大網仔路
第257約第642號地段",,,,,1985,,,
Bradbury Hospice,白普理寧養中心,,,,,"17 A Kung Kok Shan Rd.,
Sha Tin","沙田
亞公角山路17號",,,,,1992,,,
Bradbury Jockey Club Youth Hostel,白普理賽馬會青年旅舍,,,,,"66 Tai Mei Tuk Rd.,
Tai Po","大埔
大美督路66號",,,,,1993,,,
Branksome Villa,,,,,,"DD CC 1155
Off Cheung Chau Peak Rd.,
Cheung Chau","長洲
近長洲山頂道
長洲地段第1155號",,,,,1980,,,
